2 : 0.12149532710280374     ' '
К : 0.09345794392523364     о
Ь : 0.09190031152647975     и
t : 0.07009345794392523     е
Ы : 0.06230529595015576     а
r : 0.06074766355140187     н
Д : 0.06074766355140187     т
> : 0.05451713395638629     с
О : 0.0529595015576324      р
< : 0.03894080996884735     в
Б : 0.0264797507788162      м
Й : 0.024922118380062305    л
Я : 0.02336448598130841     д
1 : 0.02336448598130841     я
Ч : 0.020249221183800622    к
  : 0.018691588785046728    п
М : 0.017133956386292833    з
0 : 0.017133956386292833    ы
Х : 0.009345794392523364    ь
А : 0.009345794392523364    у
a : 0.009345794392523364    ч
Л : 0.00778816199376947     ж
8 : 0.006230529595015576    г
Е : 0.006230529595015576    ч
c : 0.006230529595015576    ф
3 : 0.004672897196261682    й
, : 0.004672897196261682    ю
. : 0.003115264797507788    б
b : 0.003115264797507788    ц
9 : 0.001557632398753894    ш
Ф : 0.0                     щ
? : 0.0                     э
